cycle_counter;cycle_time;umschaltvolumen;maximaler_spritzdruck;umschaltspritzdruck;einspritzzeit;massepolster;dosierzeit;zylinderheizzone_1;zylinderheizzone_2;zylinderheizzone_3;zylinderheizzone_4;zylinderheizzone_5;zylinderheizzone_6;zylinderheizzone_7;zylinderheizzone_8;werkzeugheizkreis_1;weight;mittlere Wandst.
20039;65.23400115966797;26.99102020263672;952.1265258789062;734.970458984375;1.75600004196167;3.4631333351135254;8.020000457763672;248.8999938964844;259.6000061035156;259.8999938964844;270.0;270.0;275.1000061035156;275.0;280.0;273.8999938964844;115.409;1,998600
20042;0.0020000000949949;27.00292015075684;671.4784545898438;596.3350219726562;0.0;0.0119008021429181;0.0;248.3000030517578;259.8999938964844;260.3999938964844;269.79998779296875;270.0;274.8999938964844;274.8999938964844;279.8999938964844;274.5;0.0;1,982000
20043;38.992000579833984;26.99102020263672;928.2326049804688;723.1500854492188;1.4819999933242798;3.998669624328613;9.661999702453612;248.3999938964844;257.70001220703125;258.70001220703125;268.70001220703125;269.70001220703125;274.8999938964844;274.8999938964844;279.8999938964844;273.6000061035156;115.778;1,999400
20046;64.76200103759766;27.00292015075684;986.4898681640624;761.481689453125;1.7599999904632568;4.641312599182129;5.98199987411499;249.1999969482422;259.3999938964844;259.6000061035156;270.0;270.1000061035156;274.8999938964844;275.0;279.8999938964844;273.6000061035156;0.004;2,029400
20047;64.7979965209961;27.00292015075684;985.5611572265624;766.8008422851562;1.7580000162124634;4.879328727722168;5.946000099182129;249.5;259.3999938964844;260.1000061035156;270.1000061035156;270.0;275.0;275.0;279.8999938964844;272.8999938964844;115.151;
20048;65.25199890136719;27.00292015075684;989.5294189453124;767.1385498046875;1.75600004196167;5.105443954467773;5.8979997634887695;249.1000061035156;259.6000061035156;259.70001220703125;270.0;270.0;274.8999938964844;275.0;279.8999938964844;273.8999938964844;115.157;
20049;66.39399719238281;27.00292015075684;991.3024291992188;766.2942504882812;1.75600004196167;5.355360984802246;5.866000175476074;249.0;259.5;260.0;270.1000061035156;270.1000061035156;275.0;274.8999938964844;279.8999938964844;273.5;115.207;2,012600
20050;67.91600036621094;27.00292015075684;990.0360107421876;765.1966552734375;1.75600004196167;5.438666343688965;5.8420000076293945;248.8000030517578;259.70001220703125;260.1000061035156;270.0;270.0;274.8999938964844;274.8999938964844;280.0;274.29998779296875;115.234;
20051;65.14600372314453;27.00292015075684;989.8671264648438;764.436767578125;1.75600004196167;5.545773983001709;5.808000087738037;249.3999938964844;259.79998779296875;260.1000061035156;270.0;269.8999938964844;274.8999938964844;275.0;279.8999938964844;274.70001220703125;115.241;2,006600
20052;80.72599792480469;27.00292015075684;986.5743408203124;760.4685668945312;1.75600004196167;5.72428560256958;5.76800012588501;249.3000030517578;259.8999938964844;259.8999938964844;270.0;270.0;275.0;274.8999938964844;279.8999938964844;274.79998779296875;0.005;2,017200
